adventure_nr,out,home,duration
1,2019-01-13T00:13:44Z,2019-01-13T00:54:51Z,41.11666666666667
2,2019-01-13T21:49:27Z,2019-01-13T22:32:04Z,42.61666666666667
3,2019-01-14T03:56:44Z,2019-01-14T04:45:07Z,48.38333333333333
4,2019-01-14T06:59:11Z,2019-01-14T07:07:10Z,7.983333333333333
5,2019-01-14T14:29:27Z,2019-01-14T14:44:07Z,14.666666666666666
6,2019-01-15T17:42:46Z,2019-01-15T20:27:38Z,164.86666666666667
7,2019-01-15T23:43:24Z,2019-01-16T00:52:42Z,69.3
8,2019-01-16T06:30:03Z,2019-01-16T06:47:36Z,17.55
9,2019-01-16T07:47:21Z,2019-01-16T16:42:45Z,535.4
10,2019-01-17T06:00:10Z,2019-01-17T06:07:16Z,7.1
11,2019-01-17T21:21:47Z,2019-01-17T21:27:48Z,6.016666666666667
12,2019-01-18T22:04:46Z,2019-01-18T22:12:00Z,7.233333333333333
13,2019-01-19T03:58:24Z,2019-01-19T04:22:19Z,23.916666666666668
14,2019-01-19T19:41:36Z,2019-01-19T19:54:23Z,12.783333333333333
15,2019-01-19T23:51:08Z,2019-01-20T00:03:10Z,12.033333333333333
16,2019-01-20T20:10:01Z,2019-01-20T20:46:04Z,36.05
17,2019-01-21T04:49:37Z,2019-01-21T04:55:02Z,5.416666666666667
18,2019-01-21T14:48:48Z,2019-01-21T15:07:58Z,19.166666666666668
19,2019-01-21T20:45:44Z,2019-01-21T21:10:25Z,24.683333333333334
20,2019-01-22T19:41:40Z,2019-01-22T19:55:06Z,13.433333333333334
21,2019-01-22T23:26:30Z,2019-01-22T23:41:47Z,15.283333333333333
22,2019-01-23T10:37:40Z,2019-01-23T10:48:07Z,10.45
23,2019-01-24T06:27:21Z,2019-01-24T06:33:36Z,6.25
24,2019-01-24T20:53:07Z,2019-01-24T21:06:18Z,13.183333333333334
25,2019-01-25T10:50:14Z,2019-01-25T11:03:10Z,12.933333333333334
26,2019-01-26T21:29:57Z,2019-01-26T22:11:48Z,41.85
27,2019-01-27T08:05:23Z,2019-01-27T08:41:36Z,36.21666666666667
28,2019-01-27T20:12:20Z,2019-01-27T22:08:23Z,116.05
29,2019-01-28T00:09:13Z,2019-01-28T00:55:18Z,46.083333333333336
30,2019-01-28T08:16:33Z,2019-01-28T15:13:00Z,416.45
31,2019-01-28T20:48:52Z,2019-01-28T21:07:01Z,18.15
32,2019-01-28T22:35:09Z,2019-01-28T23:02:23Z,27.233333333333334
33,2019-01-29T09:49:57Z,2019-01-29T10:20:58Z,31.016666666666666
34,2019-01-29T19:06:44Z,2019-01-29T19:50:40Z,43.93333333333333
35,2019-01-30T04:22:38Z,2019-01-30T04:55:19Z,32.68333333333333
36,2019-01-30T19:12:44Z,2019-01-30T19:34:08Z,21.4
37,2019-01-31T05:16:37Z,2019-01-31T05:39:14Z,22.616666666666667
38,2019-01-31T21:35:58Z,2019-01-31T22:25:54Z,49.93333333333333
39,2019-02-01T15:48:21Z,2019-02-01T21:59:22Z,371.01666666666665
40,2019-02-02T07:00:55Z,2019-02-02T07:30:37Z,29.7
41,2019-02-03T06:36:11Z,2019-02-03T06:39:15Z,3.066666666666667
42,2019-02-04T05:34:28Z,2019-02-04T05:53:20Z,18.866666666666667
43,2019-02-05T23:34:18Z,2019-02-06T00:32:44Z,58.43333333333333
44,2019-02-06T09:46:33Z,2019-02-06T10:33:28Z,46.916666666666664
45,2019-02-06T14:07:10Z,2019-02-07T00:37:27Z,630.2833333333333
46,2019-02-07T05:24:19Z,2019-02-07T05:56:11Z,31.866666666666667
47,2019-02-08T04:34:56Z,2019-02-08T05:08:16Z,33.333333333333336
48,2019-02-08T21:25:33Z,2019-02-08T22:21:07Z,55.56666666666667
49,2019-02-09T02:09:14Z,2019-02-09T02:50:14Z,41
50,2019-02-09T05:29:37Z,2019-02-09T06:18:08Z,48.516666666666666
51,2019-02-10T01:16:50Z,2019-02-10T02:13:40Z,56.833333333333336
52,2019-02-10T05:53:17Z,2019-02-10T22:02:38Z,969.35
53,2019-02-11T01:12:41Z,2019-02-11T01:57:31Z,44.833333333333336
54,2019-02-11T05:43:12Z,2019-02-11T05:55:22Z,12.166666666666666
55,2019-02-11T13:32:48Z,2019-02-11T18:48:21Z,315.55
56,2019-02-12T04:06:49Z,2019-02-12T05:23:10Z,76.35
57,2019-02-13T05:43:38Z,2019-02-13T06:00:13Z,16.583333333333332
58,2019-02-17T22:00:38Z,2019-02-17T23:01:52Z,61.233333333333334
59,2019-02-18T05:40:41Z,2019-02-18T05:56:52Z,16.183333333333334
60,2019-02-19T23:43:05Z,2019-02-20T02:25:43Z,162.63333333333333
61,2019-02-20T05:55:18Z,2019-02-20T06:24:11Z,28.883333333333333
62,2019-02-21T16:01:03Z,2019-02-21T18:06:39Z,125.6
63,2019-02-22T01:11:43Z,2019-02-22T02:18:11Z,66.46666666666667
64,2019-02-22T11:01:53Z,2019-02-22T11:26:29Z,24.6
65,2019-02-23T04:02:29Z,2019-02-23T04:46:37Z,44.13333333333333
66,2019-02-23T07:20:38Z,2019-02-23T07:49:09Z,28.516666666666666
67,2019-02-23T18:27:53Z,2019-02-23T18:51:06Z,23.216666666666665
68,2019-02-24T04:55:43Z,2019-02-24T05:15:25Z,19.7
69,2019-02-24T18:36:37Z,2019-02-24T19:30:04Z,53.45
70,2019-02-25T05:41:16Z,2019-02-25T06:06:22Z,25.1
71,2019-02-25T21:28:01Z,2019-02-25T22:26:26Z,58.416666666666664
72,2019-02-26T01:59:32Z,2019-02-26T02:43:18Z,43.766666666666666
73,2019-02-26T16:27:09Z,2019-02-26T20:35:53Z,248.73333333333332
74,2019-02-26T23:32:44Z,2019-02-27T00:33:21Z,60.61666666666667
75,2019-02-27T05:19:54Z,2019-02-27T06:02:24Z,42.5
76,2019-02-27T18:03:59Z,2019-02-27T19:08:06Z,64.11666666666666
77,2019-02-27T20:16:38Z,2019-02-27T20:40:17Z,23.65
78,2019-02-28T19:01:24Z,2019-02-28T19:35:43Z,34.31666666666667
79,2019-03-01T00:00:20Z,2019-03-01T00:52:02Z,51.7
80,2019-03-01T05:09:26Z,2019-03-01T05:54:51Z,45.416666666666664
81,2019-03-01T18:20:39Z,2019-03-01T21:05:44Z,165.08333333333334
82,2019-03-02T18:35:30Z,2019-03-02T21:48:32Z,193.03333333333333
83,2019-03-03T04:19:28Z,2019-03-03T05:14:23Z,54.916666666666664
84,2019-03-03T18:40:16Z,2019-03-03T19:55:50Z,75.56666666666666
85,2019-03-04T01:20:26Z,2019-03-04T02:33:57Z,73.51666666666667
86,2019-03-04T15:46:09Z,2019-03-04T15:46:56Z,0.7833333333333333
87,2019-03-04T15:48:51Z,2019-03-04T18:03:27Z,134.6
88,2019-03-04T19:11:18Z,2019-03-04T19:38:20Z,27.033333333333335
89,2019-03-05T00:18:44Z,2019-03-05T01:18:40Z,59.93333333333333
90,2019-03-05T19:32:58Z,2019-03-05T19:57:19Z,24.35
91,2019-03-06T05:34:57Z,2019-03-06T06:00:20Z,25.383333333333333
92,2019-03-07T01:51:31Z,2019-03-07T02:50:54Z,59.38333333333333
93,2019-03-08T05:44:50Z,2019-03-08T06:25:45Z,40.916666666666664
94,2019-03-09T05:10:29Z,2019-03-09T05:19:22Z,8.883333333333333
95,2019-03-10T18:29:43Z,2019-03-10T19:00:29Z,30.766666666666666
96,2019-03-10T19:27:14Z,2019-03-11T01:04:07Z,336.8833333333333
97,2019-03-11T05:00:36Z,2019-03-11T05:35:20Z,34.733333333333334
98,2019-03-11T19:06:38Z,2019-03-11T19:45:55Z,39.28333333333333
99,2019-03-11T22:12:48Z,2019-03-11T22:17:14Z,4.433333333333334
100,2019-03-12T00:15:45Z,2019-03-12T00:46:11Z,30.433333333333334
101,2019-03-12T05:57:37Z,2019-03-12T06:04:34Z,6.95
102,2019-03-13T00:26:33Z,2019-03-13T03:08:24Z,161.85
103,2019-03-13T05:37:08Z,2019-03-13T06:23:31Z,46.38333333333333
104,2019-03-13T17:59:17Z,2019-03-13T18:00:10Z,0.8833333333333333
105,2019-03-14T00:44:17Z,2019-03-14T01:58:22Z,74.08333333333333
106,2019-03-14T18:49:38Z,2019-03-14T18:55:00Z,5.366666666666666
107,2019-03-15T01:20:16Z,2019-03-15T02:23:46Z,63.5
108,2019-03-15T05:34:15Z,2019-03-15T06:16:17Z,42.03333333333333
109,2019-03-15T20:10:29Z,2019-03-15T20:39:44Z,29.25
110,2019-03-16T03:14:56Z,2019-03-16T04:43:20Z,88.4
111,2019-03-16T06:29:51Z,2019-03-16T06:37:49Z,7.966666666666667
112,2019-03-16T09:31:57Z,2019-03-16T09:37:51Z,5.9
113,2019-03-16T15:53:28Z,2019-03-16T16:16:16Z,22.8
114,2019-03-16T18:55:16Z,2019-03-16T20:04:26Z,69.16666666666667
115,2019-03-16T21:28:29Z,2019-03-16T23:30:14Z,121.75
116,2019-03-17T05:03:45Z,2019-03-17T05:51:22Z,47.61666666666667
117,2019-03-17T06:36:48Z,2019-03-17T06:47:40Z,10.866666666666667
118,2019-03-17T17:36:06Z,2019-03-17T17:46:16Z,10.166666666666666
119,2019-03-17T19:55:17Z,2019-03-17T20:16:40Z,21.383333333333333
120,2019-03-18T05:58:55Z,2019-03-18T06:10:50Z,11.916666666666666
121,2019-03-18T09:58:14Z,2019-03-18T19:25:55Z,567.6833333333333
122,2019-03-19T01:47:54Z,2019-03-19T02:17:39Z,29.75
123,2019-03-20T05:59:33Z,2019-03-20T06:13:09Z,13.6
124,2019-03-21T01:22:29Z,2019-03-21T01:53:48Z,31.316666666666666
125,2019-03-22T05:38:48Z,2019-03-22T05:44:15Z,5.45
126,2019-03-22T18:53:30Z,2019-03-22T19:57:33Z,64.05
